"NTNBP", "NTN-B Principal", "15/05/2019", "6.18", "IPCA"
"NTNB", "NTN-B", "15/08/2020", "6.21", "IPCA"
"NTNBP", "NTN-B Principal", "15/08/2024", "6.47", "IPCA"
"NTNB", "NTN-B", "15/05/2035", "6.49", "IPCA"
"NTNBP", "NTN-B Principal", "15/05/2035", "6.59", "IPCA"
"NTNB", "NTN-B", "15/08/2050", "6.55", "IPCA"
"LTN", "LTN", "01/01/2016", "11.96", ""
"LTN", "LTN", "01/01/2017", "12.37", ""
"NTNF", "NTN-F", "01/01/2023", "12.89", ""
"LFT", "LFT", "07/03/2017", "-0.02", "SELIC"
